Key,Type,Summary,Description,Priority,Status,Sprint,Epic Link,Assignee,Reporter,Created,Resolved,Labels,Component
OMNI-16,Epic,Support Chatbot Core Build (Ask + Agent + Audit),"Build the end-to-end STEP support chatbot: GitHub-sourced knowledge base, Ask-mode retrieval, Agent-mode confirmed writes, and full audit logging (Modules A-G).",High,Done,Sprint 4,,Priya Nair,Elena Rodriguez,29-06-2026,10-07-2026,"chatbot,core-build",chat-orchestrator
OMNI-17,Epic,L3 Agent Layer (5 Capabilities),"Add L3-only agentic capabilities on top of the core chatbot: document read/update, in-chat answer correction, DB/CSV updates, GitHub file upload, and spec-to-code generation.",High,In Progress,Sprint 4,,Marcus Chen,Elena Rodriguez,11-07-2026,,l3-agent,l3-gateway
OMNI-18,Story,Build GitHub Connector & Ingestion Pipeline (Module B),"As a system, I want to pull documents and tickets from the OmniBridge GitHub repo and chunk/index them so Ask mode can retrieve grounded answers.",High,Done,Sprint 4,OMNI-16,Priya Nair,Marcus Chen,29-06-2026,05-07-2026,"ingestion,github",github-connector
OMNI-19,Story,Implement Ask-Mode Retrieval & Answer Synthesis (Module C),"As an L2/L3 user, I want to ask a natural-language question and get a grounded, cited answer from the knowledge base rather than a fabricated one.",High,Done,Sprint 4,OMNI-16,Sarah Whitfield,Elena Rodriguez,01-07-2026,08-07-2026,"rag,chatbot",chat-orchestrator
OMNI-20,Story,Implement L3 Access Gate & Session-Role Toggle,"As the system, I want L3-only capabilities to be unreachable from an L2 session, enforced via an X-Session-Role header check at the router level, with a visible UI toggle.",High,In Progress,Sprint 4,OMNI-17,Marcus Chen,James Park,11-07-2026,,"security,access-control",l3-gateway
OMNI-21,Story,Build L3 File Upload via Chat Attachment,"As an L3 user, I want to attach a file in chat and have it committed to the GitHub repo with a confirmation and audit log entry, so new KT docs can be added without leaving the chatbot.",Medium,In Progress,Sprint 4,OMNI-17,Priya Nair,James Park,12-07-2026,,"l3-agent,github",l3-uploader
OMNI-22,Bug,Excel ticket ingestion untested — no sample XLSX in repo,The ingestion pipeline's Excel-chunking path (one row = one chunk) cannot be verified end-to-end because no sample ticket XLSX/CSV has been added to OmniBridgeDocs/tickets/ yet.,Medium,To Do,Sprint 4,OMNI-16,Sarah Whitfield,Sarah Whitfield,13-07-2026,,"ingestion,data-gap",github-connector
OMNI-23,Incident,GitHub webhook delivery failure caused stale knowledge base,"Sev-3 incident: the ingestion webhook silently failed for ~6 hours on 2026-07-09, so two document updates pushed to the repo were not reflected in Ask-mode answers until the next full re-ingest. Resolved by adding a polling fallback per design decision D7.",Medium,Resolved,Sprint 4,OMNI-16,David Okafor,Sarah Whitfield,09-07-2026,10-07-2026,"incident,ingestion",github-connector
OMNI-24,Service Request,Upgrade GitHub PAT scope to contents:write,"The current GitHub Personal Access Token is scoped to contents:read only. L3 capabilities 1 and 4 (document update, file upload) require contents:write. Requesting scope upgrade per Gap G1 in the L3 Agent Layer plan.",High,In Progress,Sprint 4,OMNI-17,James Park,James Park,14-07-2026,,"access-request,github,blocker",github-connector
OMNI-25,Incident,Test Demo,Sev-2 incident: Demo,Low,In Progress,Sprint 4,OMNI-16,Mukul,Sudeshna,09-07-2026,10-07-2026,"incident,ingestion",github-connector
